ID,MEDV
0,21.202891
1,22.948583
2,5.292653
3,29.116071
4,11.016213
5,16.719049
6,29.565758
7,16.409136
8,28.819717
9,12.042099
10,14.738708
11,22.542060
12,15.108725
13,22.740743
14,22.671803
15,25.114819
16,16.143764
17,22.769223
18,20.733177
19,25.549818
20,17.025086
21,47.630224
22,24.844454
23,11.776426
24,13.211022
25,2.752624
26,17.704512
27,13.895699
28,20.075168
29,21.067576
30,36.086312
31,28.858007
32,22.737659
33,24.462708
34,23.913906
35,24.312810
36,25.281316
37,35.081927
38,29.026091
39,37.335759
40,11.971980
41,26.859335
42,17.949308
43,23.390912
44,26.648216
45,24.146937
46,14.823113
47,22.778233
48,19.626788
49,19.572260
50,21.182313
51,33.104699
52,21.179923
53,3.148316
54,19.506594
55,23.739523
56,13.716702
57,7.444892
58,8.684042
59,22.244965
60,20.124139
61,23.805461
62,33.527498
63,23.692121
64,37.363296
65,26.307180
66,10.725879
67,22.921353
68,26.861818
69,15.741168
70,21.288723
71,14.932914
72,18.063764
73,4.620021
74,18.143802
75,16.619276
76,25.486736
77,24.126423
78,14.322713
79,26.267577
80,29.811517
81,42.145180
82,28.369640
83,27.751347
84,22.381879
85,35.473894
86,19.732468
87,18.180465
88,10.873893
89,22.446683
90,11.134853
91,19.374164
92,9.220901
93,20.477659
94,17.258006
95,16.360406
96,33.525613
97,11.183586
98,24.745275
99,15.642702
100,31.275916
101,17.209566
102,25.202930
103,38.925529
104,4.719959
