ID,MEDV
0,21.212540
1,22.932679
2,5.286807
3,29.078914
4,10.997946
5,16.710767
6,29.564967
7,16.427408
8,28.868821
9,12.065078
10,14.728281
11,22.541216
12,15.101583
13,22.748731
14,22.659846
15,25.138971
16,16.159141
17,22.735342
18,20.745040
19,25.566694
20,16.998618
21,47.465893
22,24.867971
23,11.802536
24,13.219106
25,2.762993
26,17.698799
27,13.899044
28,20.034944
29,21.101682
30,36.038537
31,28.862000
32,22.755094
33,24.516114
34,23.955794
35,24.300049
36,25.220817
37,35.013009
38,28.973879
39,37.241526
40,11.949835
41,26.900853
42,17.936714
43,23.406694
44,26.691301
45,24.108784
46,14.804688
47,22.767191
48,19.646100
49,19.590606
50,21.169240
51,33.189366
52,21.203276
53,3.151217
54,19.499046
55,23.754716
56,13.708153
57,7.439466
58,8.669659
59,22.258718
60,20.131309
61,23.856332
62,33.611378
63,23.680727
64,37.261393
65,26.266514
66,10.706331
67,22.959150
68,26.855046
69,15.739342
70,21.306338
71,14.970998
72,18.087576
73,4.617569
74,18.136410
75,16.624042
76,25.468718
77,24.111012
78,14.331667
79,26.289367
80,29.737746
81,42.201463
82,28.284543
83,27.759166
84,22.406949
85,35.418620
86,19.743424
87,18.175639
88,10.858617
89,22.464432
90,11.109406
91,19.383602
92,9.211392
93,20.450165
94,17.269871
95,16.353476
96,33.483168
97,11.159702
98,24.740870
99,15.655728
100,31.222448
101,17.236925
102,25.172126
103,38.956549
104,4.745236
