ID,MEDV
0,21.227376
1,22.914278
2,5.275525
3,29.025491
4,10.976464
5,16.694761
6,29.570674
7,16.446762
8,28.920453
9,12.105709
10,14.713988
11,22.551009
12,15.090171
13,22.754511
14,22.663319
15,25.175007
16,16.178953
17,22.690172
18,20.775554
19,25.615307
20,16.968552
21,47.244702
22,24.914310
23,11.840958
24,13.230267
25,2.781234
26,17.692388
27,13.907601
28,19.982515
29,21.153762
30,35.949114
31,28.885316
32,22.795325
33,24.597636
34,24.011235
35,24.291320
36,25.135142
37,34.920621
38,28.890595
39,37.117233
40,11.906503
41,26.971659
42,17.926380
43,23.436929
44,26.767454
45,24.060747
46,14.764927
47,22.754527
48,19.682412
49,19.624852
50,21.150422
51,33.279812
52,21.215266
53,3.152591
54,19.480961
55,23.773434
56,13.700913
57,7.429761
58,8.637361
59,22.289168
60,20.140620
61,23.920241
62,33.725134
63,23.664142
64,37.138442
65,26.197820
66,10.672134
67,23.006153
68,26.854287
69,15.734887
70,21.336944
71,15.045490
72,18.122532
73,4.612029
74,18.123385
75,16.625858
76,25.446777
77,24.078174
78,14.363654
79,26.312932
80,29.636802
81,42.223929
82,28.167920
83,27.763183
84,22.453041
85,35.339025
86,19.752523
87,18.176041
88,10.831676
89,22.502634
90,11.059879
91,19.400358
92,9.190857
93,20.415015
94,17.296898
95,16.343343
96,33.417335
97,11.131221
98,24.723967
99,15.670002
100,31.148373
101,17.283535
102,25.130050
103,38.966209
104,4.792170
